date,symbol,close,tradecount
03-03-2023,1INCHBTC,2.36E-05,2873
02-03-2023,1INCHBTC,2.41E-05,1720
01-03-2023,1INCHBTC,2.49E-05,5954
26-02-2023,1INCHBTC,2.47E-05,3119
25-02-2023,1INCHBTC,2.51E-05,2253
24-02-2023,1INCHBTC,2.59E-05,2955
23-02-2023,1INCHBTC,2.59E-05,3847
22-02-2023,1INCHBTC,2.65E-05,6032
21-02-2023,1INCHBTC,2.81E-05,15114
20-02-2023,1INCHBTC,2.46E-05,4740
19-02-2023,1INCHBTC,2.37E-05,4301
18-02-2023,1INCHBTC,2.34E-05,2341
17-02-2023,1INCHBTC,2.31E-05,2934
16-02-2023,1INCHBTC,2.30E-05,2497
15-02-2023,1INCHBTC,2.33E-05,3652
13-02-2023,1INCHBTC,2.43E-05,2837
12-02-2023,1INCHBTC,2.45E-05,3079
11-02-2023,1INCHBTC,2.47E-05,1013
10-02-2023,1INCHBTC,2.46E-05,1777
09-02-2023,1INCHBTC,2.42E-05,4446
08-02-2023,1INCHBTC,2.46E-05,2090
07-02-2023,1INCHBTC,2.52E-05,3956
06-02-2023,1INCHBTC,2.44E-05,3257
05-02-2023,1INCHBTC,2.44E-05,6293
04-02-2023,1INCHBTC,2.49E-05,4488
03-02-2023,1INCHBTC,2.41E-05,3300
02-02-2023,1INCHBTC,2.30E-05,3682
01-02-2023,1INCHBTC,2.23E-05,1902
31-01-2023,1INCHBTC,2.22E-05,842
30-01-2023,1INCHBTC,2.23E-05,2343
29-01-2023,1INCHBTC,2.28E-05,1683
28-01-2023,1INCHBTC,2.30E-05,1958
27-01-2023,1INCHBTC,2.33E-05,3007
26-01-2023,1INCHBTC,2.29E-05,2652
25-01-2023,1INCHBTC,2.31E-05,8686
24-01-2023,1INCHBTC,2.27E-05,2020
23-01-2023,1INCHBTC,2.34E-05,4588
22-01-2023,1INCHBTC,2.26E-05,3495
21-01-2023,1INCHBTC,2.20E-05,3028
20-01-2023,1INCHBTC,2.18E-05,1235
19-01-2023,1INCHBTC,2.20E-05,4117
18-01-2023,1INCHBTC,2.16E-05,2266
17-01-2023,1INCHBTC,2.27E-05,1550
16-01-2023,1INCHBTC,2.30E-05,3721
15-01-2023,1INCHBTC,2.39E-05,2951
14-01-2023,1INCHBTC,2.29E-05,4326
13-01-2023,1INCHBTC,2.34E-05,1490
12-01-2023,1INCHBTC,2.40E-05,2331
11-01-2023,1INCHBTC,2.43E-05,1168
10-01-2023,1INCHBTC,2.48E-05,2287
09-01-2023,1INCHBTC,2.46E-05,3678
08-01-2023,1INCHBTC,2.39E-05,3454
07-01-2023,1INCHBTC,2.35E-05,1203
06-01-2023,1INCHBTC,2.34E-05,910
05-01-2023,1INCHBTC,2.31E-05,2762
04-01-2023,1INCHBTC,2.35E-05,700
03-01-2023,1INCHBTC,2.32E-05,549
02-01-2023,1INCHBTC,2.37E-05,831
01-01-2023,1INCHBTC,2.32E-05,212
31-12-2022,1INCHBTC,2.32E-05,550
30-12-2022,1INCHBTC,2.27E-05,499
29-12-2022,1INCHBTC,2.29E-05,677
28-12-2022,1INCHBTC,2.32E-05,848
27-12-2022,1INCHBTC,2.40E-05,868
26-12-2022,1INCHBTC,2.40E-05,449
25-12-2022,1INCHBTC,2.37E-05,420
24-12-2022,1INCHBTC,2.37E-05,291
23-12-2022,1INCHBTC,2.37E-05,405
22-12-2022,1INCHBTC,2.36E-05,380
21-12-2022,1INCHBTC,2.37E-05,458
20-12-2022,1INCHBTC,2.39E-05,820
19-12-2022,1INCHBTC,2.32E-05,1183
18-12-2022,1INCHBTC,2.33E-05,514
17-12-2022,1INCHBTC,2.33E-05,1064
16-12-2022,1INCHBTC,2.31E-05,2637
15-12-2022,1INCHBTC,2.44E-05,641
14-12-2022,1INCHBTC,2.42E-05,936
13-12-2022,1INCHBTC,2.48E-05,1366
12-12-2022,1INCHBTC,2.51E-05,2450
11-12-2022,1INCHBTC,2.55E-05,897
10-12-2022,1INCHBTC,2.59E-05,682
09-12-2022,1INCHBTC,2.58E-05,1115
08-12-2022,1INCHBTC,2.60E-05,1669
07-12-2022,1INCHBTC,2.64E-05,3549
06-12-2022,1INCHBTC,2.78E-05,3164
05-12-2022,1INCHBTC,2.85E-05,2751
04-12-2022,1INCHBTC,2.90E-05,1046
03-12-2022,1INCHBTC,2.89E-05,6231
02-12-2022,1INCHBTC,2.95E-05,3015
01-12-2022,1INCHBTC,3.01E-05,1375
30-11-2022,1INCHBTC,3.06E-05,1640
29-11-2022,1INCHBTC,3.16E-05,1012
28-11-2022,1INCHBTC,3.19E-05,2427
27-11-2022,1INCHBTC,3.16E-05,5865
26-11-2022,1INCHBTC,3.15E-05,1484
25-11-2022,1INCHBTC,3.13E-05,2573
24-11-2022,1INCHBTC,3.18E-05,1529
23-11-2022,1INCHBTC,3.28E-05,2255
22-11-2022,1INCHBTC,3.31E-05,3925
21-11-2022,1INCHBTC,3.18E-05,2160
20-11-2022,1INCHBTC,3.10E-05,1328
19-11-2022,1INCHBTC,3.21E-05,1438
18-11-2022,1INCHBTC,3.16E-05,2149
17-11-2022,1INCHBTC,3.09E-05,14573
16-11-2022,1INCHBTC,3.14E-05,2143
15-11-2022,1INCHBTC,3.14E-05,2425
14-11-2022,1INCHBTC,3.10E-05,4708
13-11-2022,1INCHBTC,3.19E-05,10205
12-11-2022,1INCHBTC,3.02E-05,9573
11-11-2022,1INCHBTC,3.28E-05,3330
10-11-2022,1INCHBTC,3.23E-05,5987
09-11-2022,1INCHBTC,3.33E-05,9795
08-11-2022,1INCHBTC,2.99E-05,10238
07-11-2022,1INCHBTC,3.09E-05,4312
06-11-2022,1INCHBTC,3.04E-05,4366
05-11-2022,1INCHBTC,3.03E-05,2910
04-11-2022,1INCHBTC,3.09E-05,3447
03-11-2022,1INCHBTC,3.01E-05,4537
02-11-2022,1INCHBTC,2.93E-05,3102
01-11-2022,1INCHBTC,2.96E-05,1121
31-10-2022,1INCHBTC,2.99E-05,3843
30-10-2022,1INCHBTC,2.98E-05,2554
