date,symbol,close,tradecount
4/20/23,1INCHBUSD,0.511,4253
4/19/23,1INCHBUSD,0.511,4304
4/18/23,1INCHBUSD,0.57,3049
4/17/23,1INCHBUSD,0.557,4760
4/16/23,1INCHBUSD,0.574,3562
4/15/23,1INCHBUSD,0.566,3210
4/14/23,1INCHBUSD,0.565,4027
4/13/23,1INCHBUSD,0.55,3598
4/12/23,1INCHBUSD,0.536,5745
4/11/23,1INCHBUSD,0.545,3782
4/10/23,1INCHBUSD,0.548,4792
4/9/23,1INCHBUSD,0.533,2809
4/8/23,1INCHBUSD,0.53,2799
4/7/23,1INCHBUSD,0.528,4007
4/6/23,1INCHBUSD,0.539,3892
4/5/23,1INCHBUSD,0.539,7039
4/4/23,1INCHBUSD,0.541,5060
4/3/23,1INCHBUSD,0.515,7062
4/2/23,1INCHBUSD,0.521,3893
4/1/23,1INCHBUSD,0.54,4710
3/31/23,1INCHBUSD,0.562,8268
3/30/23,1INCHBUSD,0.567,25876
3/29/23,1INCHBUSD,0.518,5885
3/28/23,1INCHBUSD,0.496,4625
3/27/23,1INCHBUSD,0.489,4559
3/26/23,1INCHBUSD,0.513,2889
3/25/23,1INCHBUSD,0.5,3403
3/24/23,1INCHBUSD,0.507,3892
3/23/23,1INCHBUSD,0.521,5819
3/22/23,1INCHBUSD,0.508,6061
3/21/23,1INCHBUSD,0.537,7423
3/20/23,1INCHBUSD,0.523,5969
3/19/23,1INCHBUSD,0.552,10816
3/18/23,1INCHBUSD,0.521,5834
3/17/23,1INCHBUSD,0.529,5300
3/16/23,1INCHBUSD,0.495,8053
3/15/23,1INCHBUSD,0.49,6935
3/14/23,1INCHBUSD,0.528,4364
3/13/23,1INCHBUSD,0.501,3436
3/12/23,1INCHBUSD,0.475,2726
3/11/23,1INCHBUSD,0.442,4602
3/10/23,1INCHBUSD,0.448,3453
3/9/23,1INCHBUSD,0.439,3525
3/8/23,1INCHBUSD,0.473,2315
3/7/23,1INCHBUSD,0.508,1921
3/6/23,1INCHBUSD,0.525,2582
3/5/23,1INCHBUSD,0.513,1648
3/4/23,1INCHBUSD,0.517,1654
3/3/23,1INCHBUSD,0.528,3890
3/2/23,1INCHBUSD,0.565,2693
3/1/23,1INCHBUSD,0.588,2816
2/28/23,1INCHBUSD,0.571,2661
2/27/23,1INCHBUSD,0.579,4182
2/26/23,1INCHBUSD,0.583,2837
2/25/23,1INCHBUSD,0.58,3602
2/24/23,1INCHBUSD,0.601,3740
2/23/23,1INCHBUSD,0.619,4533
2/22/23,1INCHBUSD,0.643,8000
2/21/23,1INCHBUSD,0.688,19626
2/20/23,1INCHBUSD,0.613,6244
2/19/23,1INCHBUSD,0.575,6266
2/18/23,1INCHBUSD,0.576,4006
2/17/23,1INCHBUSD,0.568,4111
2/16/23,1INCHBUSD,0.542,4495
2/15/23,1INCHBUSD,0.567,3439
2/14/23,1INCHBUSD,0.54,3308
2/13/23,1INCHBUSD,0.531,5020
2/12/23,1INCHBUSD,0.533,3044
2/11/23,1INCHBUSD,0.541,2531
2/10/23,1INCHBUSD,0.533,3389
2/9/23,1INCHBUSD,0.528,8455
2/8/23,1INCHBUSD,0.564,5130
2/7/23,1INCHBUSD,0.586,6813
2/6/23,1INCHBUSD,0.554,6062
2/5/23,1INCHBUSD,0.56,13517
2/4/23,1INCHBUSD,0.581,9515
2/3/23,1INCHBUSD,0.566,6429
2/2/23,1INCHBUSD,0.54,7978
2/1/23,1INCHBUSD,0.529,4208
1/31/23,1INCHBUSD,0.514,2907
1/30/23,1INCHBUSD,0.51,6297
1/29/23,1INCHBUSD,0.541,4300
1/28/23,1INCHBUSD,0.529,4935
1/27/23,1INCHBUSD,0.538,6612
1/26/23,1INCHBUSD,0.528,6111
1/25/23,1INCHBUSD,0.534,13047
1/24/23,1INCHBUSD,0.513,6613
1/23/23,1INCHBUSD,0.535,11101
1/22/23,1INCHBUSD,0.513,9480
1/21/23,1INCHBUSD,0.501,7808
1/20/23,1INCHBUSD,0.494,3881
1/19/23,1INCHBUSD,0.463,7272
1/18/23,1INCHBUSD,0.447,5526
1/17/23,1INCHBUSD,0.48,3616
1/16/23,1INCHBUSD,0.488,5080
1/15/23,1INCHBUSD,0.497,5202
1/14/23,1INCHBUSD,0.481,9088
1/13/23,1INCHBUSD,0.464,2351
1/12/23,1INCHBUSD,0.451,4122
1/11/23,1INCHBUSD,0.435,1686
1/10/23,1INCHBUSD,0.432,2148
1/9/23,1INCHBUSD,0.421,3743
1/8/23,1INCHBUSD,0.409,1533
1/7/23,1INCHBUSD,0.398,1248
1/6/23,1INCHBUSD,0.396,1364
1/5/23,1INCHBUSD,0.388,1901
1/4/23,1INCHBUSD,0.395,2230
1/3/23,1INCHBUSD,0.386,1606
1/2/23,1INCHBUSD,0.395,1332
1/1/23,1INCHBUSD,0.386,559
12/31/22,1INCHBUSD,0.383,1094
12/30/22,1INCHBUSD,0.375,1028
12/29/22,1INCHBUSD,0.382,1254
12/28/22,1INCHBUSD,0.384,1853
12/27/22,1INCHBUSD,0.4,1643
12/26/22,1INCHBUSD,0.406,1141
12/25/22,1INCHBUSD,0.398,1132
12/24/22,1INCHBUSD,0.4,601
12/23/22,1INCHBUSD,0.397,820
12/22/22,1INCHBUSD,0.396,1093
